Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-8ce48c7c0b0b144091e21ab508339d553de89572,0,0,1,0,0,0,0,0,0,0,0,0,0
1-02b3c5e03c44a9373c3a9d323c3425bdffade688,1,1,1,0,0,0,0,0,0,0,0,0,0
1-88d5ca079a9ca0f041c3275e47b7a1d69775d6cc,1,1,1,0,0,0,0,0,0,0,0,0,0
1-09ceccd596e6aeebb5eca309093ef32216291f1e,0,0,0,0,0,0,1,0,0,0,0,0,0
1-bac18a129c45335e69d811b3872fcb938e1f0ff8,1,1,0,0,0,0,0,0,0,0,0,0,0
1-26bf9b3ff36dbf0235adbbff1efeeb192f0d205f,0,0,0,0,0,0,0,0,0,0,1,0,0
1-64f8214b1b6536fb6aea522450dd3a150b4c1b76,0,0,0,0,0,0,0,0,0,0,1,0,0
1-535dd7001046e740345e2d00cb27f13d69226521,1,1,0,0,0,0,0,0,0,0,1,0,0
1-80f951258992f75441239c79e0f31eda7d47e107,1,1,1,0,0,0,1,0,0,0,1,0,0
1-8b8cc6cddbf5af0c93c4ceffd015f6328c932149,0,0,0,0,0,0,0,0,0,0,1,0,0
1-f1572608ac16098e2a023daac97742766ad9f541,0,0,0,0,0,0,0,0,0,0,1,0,0
1-ad9d33b5b22f4f4d470018e41d5c33c1eaf464c8,0,0,0,0,0,0,0,0,0,0,1,0,0
1-afcae4dba775648ab4f25fe3ff2a9a59e9f91b7e,0,0,0,0,0,0,0,0,0,0,1,0,0
1-999b3fb27595941e07259e534bfc8b85a2a08792,0,0,1,0,0,0,0,0,0,0,0,0,0
1-c7486ad8be73e3ea60d8b7f0948be9af1ed304e1,0,0,1,0,0,0,0,0,0,0,0,0,0
1-9f625af2721bfb3f764d5f4dd23eef55324c94bc,0,0,0,0,0,0,0,0,0,0,1,0,0
1-883874f19a9c77410a2d360ac5a79d0eadefc2b0,0,0,1,0,0,0,0,0,0,0,0,0,0
1-8122332d21bc7cd3d0018559e9847e68909a0744,0,0,0,0,0,0,0,0,0,0,1,0,0
1-760bf1283727080cedb406065aa2b5f673f6830a,1,1,1,0,0,0,0,0,0,0,0,0,0
1-6b50c90daa764492e074198460c807d83d52325e,1,1,0,0,0,0,0,0,0,0,0,0,0
1-afcc4e9d64111a200b52435e07d0c32de33f6198,0,0,0,0,0,0,0,0,0,0,1,0,0
1-791449a6ab0696f4c0109908a4a0925e514b10d9,0,0,0,0,0,0,1,0,0,0,0,0,0
2-2903fc918dd87be53192aa1065047392f7adf4d1,1,1,1,0,0,0,1,0,0,0,1,0,0
1-a25f53f8871fd178b6791d1194d7358b55d1ba37,1,1,1,0,0,0,0,0,1,0,0,0,0
1-656bb37a1dba87d61d24e69f2346f35dbc73d81d,0,0,0,0,0,0,0,0,0,0,1,0,0
1-cfc05114e4036cebcdfb5ef7e534cb84f4e68e02,1,0,1,0,0,0,0,0,0,0,0,0,0
1-6a15cd55028fc9b7c73158d05f5ee335cab1f481,1,1,0,0,0,0,0,0,0,0,0,0,0
1-db52836b6a33c9ff130d8ea554f78b21ebe9b586,0,0,1,0,0,0,0,0,0,0,0,0,0
1-0c24b9f8ff0ea74c4793dedae1480d2877d21368,1,0,1,0,0,0,0,0,0,0,0,0,0
1-16720991418fda8f29abd4888fd1a5969f99d259,0,0,0,0,0,0,0,0,0,0,1,0,0
1-2568d9ebe91ceb0a13c98b16f99593cd22084efa,0,0,0,0,0,0,1,0,0,0,0,0,0
1-d7bb34fa5033f252060bcff360735967a4f3b02c,1,1,1,0,0,0,1,0,0,0,0,0,0
1-9a65367f4c2664c06ab2c607156a21eff54f4438,0,0,0,0,0,0,0,0,0,0,1,0,0
1-a1ec99b1b5ffc7945587bb62898d682b1149daed,0,0,0,0,0,0,0,0,0,0,1,0,0
1-73253d89b2b631e26818af8cd58f9167d5f96d71,0,1,1,0,0,0,0,0,0,0,0,0,0
1-2903fc918dd87be53192aa1065047392f7adf4d1,1,1,1,0,0,0,0,0,0,0,0,0,0
1-98e6c2f915a109d3157bed8cc2b775b430894535,0,0,0,0,0,0,0,0,0,0,1,0,0
1-de11a2ae80166defacd1f9c51b77f52be4b53eb1,1,1,0,0,0,0,0,0,0,0,1,0,0
1-ccbb7a0389c45f087fbfe313aa50d727a41550ce,0,0,0,0,0,0,0,0,0,0,1,0,0
1-ed31b534d8416d22e8e9939c475ab16d186f87fa,0,0,1,0,0,0,0,0,0,0,0,0,0
1-f087aea1e116d5ad19f61e5acc7ee296e3e819fc,0,0,0,0,0,0,0,0,0,0,1,0,0
1-0f679701291663fc5152c0519ecc5ba08094c842,0,1,1,0,0,0,0,0,0,0,0,0,0
2-d7bb34fa5033f252060bcff360735967a4f3b02c,0,0,1,0,0,0,0,0,0,0,0,0,0
1-e007d464d027048e40830a3f62220df6e29d6b3d,0,0,1,0,0,0,0,0,0,0,0,0,0
1-b7143614926fe5e6e7142b848a5e0552fcf45ef4,1,1,1,0,0,0,0,0,0,0,0,0,0
1-f1a1abbf32fac2288146052c43f16569c835bba1,0,0,0,0,0,0,0,0,0,0,1,0,0
1-e1afc730342d1020886b508ba874e366c401eb7d,0,0,0,0,0,0,0,0,0,0,1,0,0
1-6a1ee724c337694ee28b2a09af41c236b880ba66,0,0,0,0,0,0,0,1,0,0,0,0,0
1-5e5a850b946252906db421cafec7b1e3e03ba3fa,0,0,1,0,0,0,0,0,0,0,0,0,0
1-dce5d3ed35a665830645c0e3dab6d5c1ddffeec1,1,0,1,0,0,0,0,0,0,0,0,1,0
1-487801a3c6e098e29d840d8a6c08cbd4037fb4e4,1,1,1,0,0,0,0,0,0,0,0,0,0
1-acdac6790f4424f8097b3aa6c888e825cac485f9,0,0,1,0,0,0,0,0,0,0,0,0,0
2-09ceccd596e6aeebb5eca309093ef32216291f1e,0,0,0,0,0,0,1,0,1,0,0,1,0
1-965ab8585c3e8be1dff784e749e37dad31151ec8,0,0,0,0,0,0,0,0,0,0,1,0,0
1-84bbe032114d55fb7eb269a05bccb54169e4cb48,1,1,0,0,0,0,0,0,1,0,0,0,0
1-2d2d1a203c55eb6b9587f78e6f8f6ef05ddf1a75,0,0,1,0,0,0,0,0,0,0,0,0,0
1-7b6c27e95fef9e725fbf9e15afb852bb952dfa34,0,0,0,0,0,0,0,0,0,0,1,0,0
1-a908cdb933d3f4610ad36dac27bdca4799a1d0da,0,0,0,0,0,0,0,0,0,0,1,0,0
1-cadc6c5e79da5f267dbd91e9398d59b01d49fea9,0,0,0,0,0,0,0,0,0,0,1,0,0
1-0c02965854e825d9a6895f813a5f922bf863502b,1,1,1,0,0,0,0,0,0,0,0,0,0
1-db13ccf28c5dedbd2e9e14a7a4035b459ce51f6d,0,0,1,0,0,0,0,0,0,0,0,0,0
1-0c867e98a9c8311d380eb86058e13b5e4801badc,0,0,1,0,0,0,0,0,0,0,0,0,0
1-997b7ed9947e1f5ac64d9bfef335cee1f405217b,1,1,1,0,0,0,0,0,0,0,0,0,0
2-ad9d33b5b22f4f4d470018e41d5c33c1eaf464c8,0,0,0,0,0,0,1,0,0,0,1,0,0
1-0f40221492b47df25615a1b5909fefa6f2d6fa0e,0,0,1,0,0,0,0,0,0,0,0,0,0
1-51ca68ae0e8d7083254f8cc781a62728944e5b35,0,0,0,0,0,0,0,0,0,0,1,0,0
1-fa452d8e55f28d1835a23093678af51400d5a94f,1,1,0,0,0,0,0,0,0,0,0,0,0
1-81f80d185c3051f4b48a84e89e6cd628faf06e23,0,1,1,0,0,0,0,0,0,0,1,0,0
1-fd2e083224d3ee0e9ccca4431d63a84601e0d606,0,0,0,0,0,0,1,0,0,0,1,0,0
1-eec165d9e3ef0ab1d93f69a231964984a3379762,0,0,0,0,0,0,0,0,0,0,1,0,0
1-6036e9961e7f8ea8f94c7d9b3ab9160b517d156b,0,0,0,0,0,0,0,1,0,0,0,0,0
1-a1f66c031ceba5943473b1bdd95765cff87a663c,0,0,1,0,0,0,0,0,0,0,0,0,0
1-be10f7278344dacb0bcc43553579b5add828f9b7,0,0,1,0,0,0,0,0,0,0,0,0,0
1-b8a29557b0138592058939f5d1b99e9fae012626,1,1,0,0,0,0,1,0,0,0,0,0,0
1-5085af8e7fc625672ca90605efbcc9e335f4e8c6,0,0,0,0,0,0,0,0,0,0,1,0,0
1-ee35b15a04539af508d29081ac5c7f8f6fadba4a,0,0,1,0,0,0,0,0,0,0,0,0,0
1-8e063e8a9501b48c03999446edbdc1e83cc28236,0,0,1,0,0,0,0,0,0,0,0,0,0
1-96776ef5b02f0ba9e0bc3d24932f49350f08661c,0,0,0,0,0,0,1,0,0,0,0,0,0
1-fa3b6f1d0199dacb9069c24a1c2de0e31de38cb3,0,0,0,0,0,0,0,0,0,0,1,0,0
1-c990d23490f5c4ac4322119b03d5951b63eef055,1,1,1,0,0,0,1,1,0,0,1,0,0
1-40f6fef078275d3ca43f02918200a2d6076fef9d,0,0,1,0,0,0,0,0,0,0,0,0,0
1-3ba679f8e97be3f70d1c93e131a4db34858ef330,0,0,0,0,0,0,1,0,0,0,1,0,0
1-f7664e2ac986e3b61249b8884d0d2d02a2990028,1,1,1,0,0,0,0,0,0,0,0,0,0
1-a5861265a5ef04e7419b8c3d7469c887a8b350d4,0,0,0,0,0,0,1,0,0,0,0,0,0
1-c4b425bb0bf6c72adb5b4cab7583b91dc8397335,0,0,0,0,0,0,0,0,0,0,1,0,0
1-dccbbfd1ba4803c95b810b5dac2c46085f7c2b90,0,0,0,0,0,0,0,0,0,0,1,0,0
1-4c6258119a0f5f59b3173b3af69051ef7b227858,0,0,0,0,0,0,0,1,0,0,0,0,0
1-0f52d4dd7eb8807fdf08e4a0e0ef515eb1a092b7,1,1,0,0,0,0,0,0,0,0,0,0,0
1-b758ad11c85860f1ebcfefd48f481b365868a6de,0,0,0,0,0,0,0,1,0,0,0,0,0
1-13466605915cbc62103220df81dd0a16769c4ff5,0,0,0,0,0,0,0,0,1,0,1,0,0
1-c5f60788a9f56fe9f483fbb87ccb615644365f5e,0,0,1,0,0,0,0,0,0,0,0,0,0
1-9f1113b029cf7fcb6f468a85a7eae0e894415a4d,0,0,0,0,0,0,1,0,1,0,0,0,0
1-100be46ee7a8760fc7663930f7ac944332492845,0,0,0,0,0,0,0,0,0,0,1,0,0
1-adb02497ed443e836ae552e20bcb11ab8c1ab623,0,0,0,0,0,0,0,0,0,0,1,0,0
1-49f82c8a5bfaead7da63e0793ed4dec4318f2b89,0,0,0,0,0,0,1,0,0,0,1,0,0
1-60df115568a32a8c4b4b0c0bb4dcb37417e084bc,0,0,1,0,0,0,0,0,0,0,0,0,0
1-3413e0e24a045c276b7744ff1db82c5bb2e7c643,1,1,1,0,0,0,0,0,0,0,0,0,0
1-d85a40f2ffa200bbb0b11adc979e69f3c9410c5f,0,0,0,0,0,0,0,0,0,0,1,0,0
1-3babd1ba8bed600894b598cc999ca8c5c0c91a5c,0,0,0,0,0,0,0,1,0,0,0,0,0
1-2f49331fb22511346eea8800d27907de44409d5b,1,1,0,0,0,0,0,0,0,0,0,0,0
1-4067732ffafca0dd8edde7b51104a2f432c586bf,0,0,0,0,0,0,0,0,0,0,1,0,0
1-c034676bbe6fe94a70f19e79e173836e153b937c,0,0,0,0,0,0,0,0,0,0,1,0,0
1-390fbb37cc7f41787cf2559842beb98e7058b4ae,0,0,0,0,0,0,1,1,0,0,1,0,0
1-f3f0ecd6e7a6731b9775b2cd61a6a2b121d227a5,0,0,0,0,0,0,0,0,0,0,1,0,0
3-ad9d33b5b22f4f4d470018e41d5c33c1eaf464c8,0,0,0,0,0,0,0,0,0,0,1,0,0
1-1db4cd7914d4f36224a4a8944e546650d5fc5a4d,0,0,0,0,0,0,1,0,0,0,1,0,0
1-2e435be05d9200097a6edf9f89d83b9330fd5135,1,1,1,0,0,0,0,0,0,0,0,0,0
1-bf2f13e26271634e5c0742392c1f5d0de2cad171,0,0,0,0,0,0,0,0,0,0,1,0,0
1-2c980514a6ae7ebdd3e3f06893dd3b12c3e34dc1,0,0,0,0,0,0,0,0,0,0,1,0,0
1-6df1aa26f75ff0d716a1290007e2b63cc05001ae,1,1,1,0,0,0,0,0,1,0,1,1,1
1-0cb2c7a50d765c0f1c289d9689de2e7bdb9f3a9d,1,1,1,0,0,0,0,0,0,0,0,0,0
1-666eb9fc7a3da80059436785845ceb7f796c3f44,0,0,0,0,0,0,1,0,0,0,0,0,0
1-f43d066490283dd54a0d816d8153711866c8f647,1,1,1,0,0,0,0,0,0,0,0,0,0
1-a18ebe9defec96282ff0092db86f79a51a373447,0,0,0,0,0,0,0,1,0,0,0,0,0
1-884e2e55d15d63d2d321b5f842e127bff190c303,0,0,0,0,0,0,0,0,0,0,1,0,0
1-6c050d8b605714121da570382078edaa3750af4a,1,1,0,0,0,0,0,0,0,0,0,0,0
1-13430511004f1deead30b60a4fbd3c538081d5e9,0,1,1,0,0,0,0,0,0,0,0,0,0
1-d7828ee5f27be2f10dda026372898126aeae24b7,0,0,0,0,0,0,0,0,0,0,1,0,0
1-764aa68aee62304b40b7d09903b492e240d637b2,0,0,0,0,0,0,0,1,0,0,0,0,0
1-f415fb00bdcfe4931b43ca629ab4fb9bc3f67f16,0,0,1,0,0,0,0,0,0,0,0,0,0
1-008b82d149685d6702a060fbecafc8fc2e10b459,1,1,0,0,0,0,1,0,0,0,0,0,0
2-fa452d8e55f28d1835a23093678af51400d5a94f,1,1,0,0,0,0,0,0,0,0,0,0,0
1-3f93ec517d5e1715db32931c840fa0ecb1e0d826,0,0,1,0,0,0,0,0,0,0,0,0,0
1-07f9a558bce1b78eb6888f3da99729210e4171e8,1,1,1,0,0,0,1,0,0,0,0,0,0
1-e21fca16e413a8bf31d613aa97a744d075c374dd,1,1,0,0,0,0,0,0,0,0,0,0,0
1-a08fa9ee649fa32b4c7f5fc93292dbf4dd902240,0,0,0,0,0,0,0,0,0,0,1,0,0
1-6a9680b54a0ddc0479db02605a4c6d2390da495f,0,0,0,0,0,0,1,1,0,0,0,0,0
1-ab8df80e3284f5b991b47ae8d3b86f5730900169,0,0,0,0,0,0,0,0,0,0,1,0,0
2-a1f66c031ceba5943473b1bdd95765cff87a663c,0,0,1,0,0,0,0,0,0,0,0,0,0
2-fa3b6f1d0199dacb9069c24a1c2de0e31de38cb3,1,1,0,0,0,0,0,0,0,0,0,0,0
1-0473f763c0170174baf27f75da50945e8562c9f5,0,0,1,0,0,0,0,0,0,0,0,0,0
1-38a6cabe128ef4b85bd807b4a4033522c72d1eb1,0,0,0,0,0,0,0,0,0,0,1,0,0
1-dd0f96d32e589249fdd05ab40f9d087c79415730,0,0,0,0,0,0,0,0,0,0,1,0,0
1-c378a677ebcd999d853b3e5867ac7ca7cd8e73cb,0,0,0,0,0,0,0,0,0,0,1,0,0
1-263cf50ac27714b8e120565f45a1fac661df18b5,1,1,1,0,0,0,0,0,0,0,0,0,0
2-3ba679f8e97be3f70d1c93e131a4db34858ef330,1,1,0,0,0,0,0,0,0,0,0,0,0
1-45adbefb819caef2ad19921d32b13af560f35c99,0,1,1,0,0,0,0,0,0,0,0,0,0
