Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-e0520c1d104ea7eb5e6995ae0125a2c94d40cc3a,0,0,1,0,0,0,0,0,0,0,0,0,0
1-85a3ab11f6e5caacd09f8402d0b674310c9d8ce5,0,0,0,0,0,0,1,0,0,0,1,0,0
1-b6a9471f3eb205a0fb64a6b35cb675acd23e5bbb,1,0,1,0,0,0,0,0,0,0,0,0,0
1-fd9d6c0b62a3372a41020eb328028279c7bab048,0,0,0,0,0,0,0,0,0,0,1,0,0
1-0b42a5456161a1ccb4a216c2fddda4af12693989,0,0,1,0,0,0,0,0,0,0,0,0,0
1-b9133a718c0d010a73ba5dd0a7921ad0b92b01ce,0,0,1,0,0,0,0,0,0,0,0,0,0
1-27f50a27ed418cb1656f1fc6132e2a1df2e7bf4c,0,1,1,0,0,0,1,0,0,0,0,0,0
1-adaa3f552c035f3fab2880a5cf6e4974c98e62cf,0,0,1,0,0,0,0,0,0,0,0,0,0
1-50a15b7c09228bdc460e9ae0119654b97576980d,0,0,1,0,0,0,0,0,0,0,0,0,0
1-d0aebbb27fc40ac8a978de76554a2806252651c3,1,1,0,0,0,0,0,0,0,0,0,0,0
2-a99cbaaccf9ae4dafad316d56f80a4d691cca613,1,1,0,0,0,0,0,0,0,0,1,1,0
1-25f9202a4ee6e77a9d0c4ad5060c88ba2506f50a,1,1,0,0,0,0,0,0,0,0,0,0,0
1-b8547680e706a14eb2a1942ab0899704a80fb936,0,1,1,0,0,0,0,0,0,0,0,0,0
1-48e642d077e82d0573cf4f5fce5f30f09d2d3a38,0,0,1,0,0,0,0,0,0,0,0,0,0
1-42018d4e4c9b89145c765b99439ceabcfcbf721c,0,0,1,0,0,0,0,0,0,0,0,0,0
1-0743b5a1f216f1afed59dbabb723e589c25e66aa,0,0,0,0,0,0,0,0,0,0,1,0,0
1-e6f0492e6a096a57be63f7a39c205d99720685c6,0,0,0,0,0,0,0,1,0,0,0,0,0
1-e204d072e77cbef5a46ff2bc8c9acfe7bee67371,0,0,0,0,0,0,0,0,0,0,1,0,0
1-a99cbaaccf9ae4dafad316d56f80a4d691cca613,0,0,1,0,0,0,0,0,0,0,0,0,0
1-eed3e537e6fab8bc1c0a514d7d77373f949faf37,0,0,1,0,0,0,0,0,0,0,0,0,0
1-f4226b3d3c012c7950ec26a7f176ca773becb956,0,0,0,0,0,0,0,0,0,0,1,0,0
1-154e014d2961a7d48d018424c179589ee1fa4c6b,1,0,1,0,0,0,0,0,0,0,0,1,0
1-59185ec081fc1d592fbfdbcf3ae516ac726ab6a4,0,0,1,0,0,0,0,0,0,0,0,0,0
1-6a121da108a97a7306acb9d1b19564762f9afbb0,0,0,1,0,0,0,0,0,0,0,0,0,0
1-3935a8018ed5b02966185cd5586ceeb8aa40e519,1,0,1,0,0,0,0,0,0,0,0,0,0
1-d807109dd8eb8992d38db4a1c7a02077f7cd0532,0,0,1,0,0,0,0,0,0,0,0,0,0
1-80085ccca9669deebfcc8e5dc177560954dbeb04,0,0,1,0,0,0,0,0,0,0,0,0,0
1-e6b1b3e09045abd8d7d3ea129ce13a92bef621de,1,0,1,0,0,0,1,0,0,0,0,0,0
1-c20071aa1298679ea6ea70ce3a902b435aeb428b,0,0,0,0,0,0,0,0,0,0,1,0,0
1-14cb640e91a01cb76fb724a1e45de14280556647,0,1,1,0,0,0,0,0,0,0,0,0,0
1-5a523b3742c43bd315ecee1b55e46523cfd14207,1,0,1,0,0,0,0,0,0,0,0,0,0
1-e2ba22e17cdc3f0e182740c2defb6b739c190829,0,0,1,0,0,0,0,0,0,0,0,0,0
1-bd1168ac5ba9ef7895b134aa40c6de2e71774820,0,0,0,0,0,0,0,1,0,0,0,0,0
1-bc86c70171344bb4c188e4dd916417f0e3ae2816,0,0,0,0,0,0,0,0,0,0,1,0,0
1-7beb903ee2fbbea5b48ad316944ef831b69074f4,0,1,1,0,0,0,0,1,0,0,0,0,0
1-f6d5e9c1f049105a3aa3528cab9aeb93af28b2b3,0,1,1,0,0,0,1,0,0,0,1,0,0
1-e738a1b772c28119ac15542d9053c7368e2ca734,1,0,1,0,0,0,0,0,0,0,0,0,0
1-b26167e4ad2ece972523cdf832e3603b92a399a1,0,0,1,0,0,0,0,0,0,0,0,0,0
1-44350873aeac2507aae885d2d2717e60adc3bebd,0,0,0,0,0,0,1,0,0,0,1,0,0
1-b2518c1edb7da36bbc9919caea0ae04d566bf70c,1,0,1,0,0,0,0,0,0,0,0,0,0
2-b26167e4ad2ece972523cdf832e3603b92a399a1,1,1,1,0,0,0,0,0,1,0,0,0,0
1-cf004889e5e5d28c35d21cfb4b4689072b97667b,0,0,1,0,0,0,0,0,0,0,0,0,0
1-fa462e2702e9b3a11ee3fd6b46c179e5ba698ea3,0,1,1,0,0,0,0,0,0,0,0,0,0
1-ade00491d5bc2925557ab57bbd06352a056c0ac5,1,1,0,0,0,0,0,0,0,0,0,0,0
1-3b88ba83072a6bfb373551ac09a9a714683d3bc1,1,0,1,0,0,0,0,0,0,0,0,0,0
