Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
3-71337bba019516e2960e525439658f01d8cc4e21,0,0,1,0,0,0,0,0,0,0,0,0,0
1-d646f58fba606c3501982139ba16e5744b419326,1,1,0,0,0,0,0,0,0,0,0,0,0
1-ec82d87509fd04fad930ba9e0cee94a3ff633cca,1,1,0,0,0,0,0,0,0,0,0,0,0
1-7f2b70999749eff50303f0a3b9c07abfaf087a89,1,1,0,0,0,0,0,0,0,0,0,0,0
1-fa0814a2910a9e4a564d2134b466e87b2879a601,0,0,1,0,0,0,0,0,0,0,0,0,0
1-28300ca8f753aae74aa46e95ae77a3b07df951e4,1,1,0,0,0,0,0,0,0,0,1,0,0
1-06e63efc08a221a9d44462ebcb4a6b711233c483,0,0,1,0,0,0,0,0,0,0,0,0,0
1-3689e6f4fb369d0fe10b1fa4306e0f98d1508730,0,0,0,0,0,0,1,0,0,0,0,0,0
1-420db540e4948d4a0a6474489ffaa0d36dcb3501,0,0,0,0,0,0,0,0,0,0,1,0,0
1-44f2e89bd834153a2a6ab0112c78dab43f865c22,0,0,0,0,0,0,0,0,0,0,1,0,0
1-c5f23429ba7f460060cceaf59b7b8b9d3d502f7e,0,0,0,0,0,0,1,0,0,0,0,0,0
1-007d858ab739d5add32625597e78bf1a37ea1b64,1,1,1,0,0,0,0,0,0,0,0,0,0
1-9be708ed8d611f1537f8f1fa81c7f91fef0cdd82,0,1,1,0,0,0,1,0,0,0,0,0,0
1-d8726350b8f9adf23c2a913125e91b9ca052872d,1,1,0,0,0,0,0,0,0,0,0,0,0
1-48a68ed66208a87f6c203d416f5b513a81309364,0,0,0,0,0,0,0,0,0,0,1,0,0
1-9c78fed741ef801305802392bbe6fceebae29b44,1,1,0,0,0,0,0,0,0,0,0,0,0
1-fc90c21d7eb7f76b16d6dea14b8a2f83a41582be,0,0,0,0,0,0,0,0,0,0,1,0,0
1-29698b237ef49427f3258fe6aff9a70136197874,1,1,0,0,0,0,0,0,0,0,0,0,0
1-b51730adbfc7f9fc487908257153d6e5ea8fce4f,0,0,1,0,0,0,0,0,0,0,0,0,0
1-b0ea606f205344e2f385231bb1498c3ac5bb6492,1,1,0,0,0,0,0,0,0,0,0,0,0
1-de1bc2de35c1b5f64b28202fe3c729c74ae666cf,1,1,0,0,0,0,0,0,0,0,0,0,0
1-c270fbb17fc7de8096bbe279767ae1a5f957073f,1,1,1,0,0,0,0,0,0,0,0,0,0
