Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-b74033d37ea6f1cb297922540131eb4a483dc24e,1,1,0,0,0,0,0,0,0,0,0,0,0
2-bfb05da088c5b4a07239b01735f302c2fc9d87d1,0,0,1,0,0,0,0,0,0,0,0,0,0
1-98fb86162cf82afd25370e315bbd61ad6c978cb9,1,1,1,0,0,0,0,0,0,0,0,0,0
1-5e23aaee4d7d6fa29882ca542445fec2a15413ac,0,0,1,0,0,0,0,0,0,0,0,0,0
1-bfb05da088c5b4a07239b01735f302c2fc9d87d1,0,0,1,0,0,0,0,0,0,0,0,0,0
1-62c165eb7e0bacb47b0b465dc4066da17e2def19,0,0,1,0,0,0,0,0,0,0,0,0,0
1-5f869a7e039e0e913fc04565b16c2cc6c1d0ebc1,0,1,1,0,0,0,0,0,0,0,0,0,0
1-a1ac33ac44b52ddb85bda074f2d9c39e7663a362,1,1,1,0,0,0,0,0,0,0,0,0,0
1-419aeacab3a7577977503611c6999fd01fa1f185,0,0,0,0,0,0,0,0,0,0,1,0,0
1-dbee04e2e21739cd4094c537799a6e1856eff91b,1,1,0,0,0,0,0,0,0,0,0,0,0
1-5779fcec86e9356e1a0d7b5d1832f79075e19a2d,0,0,0,0,0,0,1,0,0,0,1,0,0
1-417e63049083d703c0695aea5b3bbd663cefa27c,1,1,0,0,0,0,0,0,0,0,0,0,0
1-a57e1e48205a143911b38ba46cb46a07c22688f0,1,1,1,0,0,0,0,0,0,0,0,0,0
1-e123efc948b6d2050656f419bfb51316cd2ca4a5,0,1,1,0,0,0,0,0,0,0,0,0,0
1-2591e694b9b78e13eb424c1fc9f3881f4839452e,1,1,1,0,0,0,1,0,0,0,1,1,1
1-d074d5f3f782dd4101580a451882a055db6880fc,0,0,0,0,0,0,0,0,0,0,1,0,0
2-5f869a7e039e0e913fc04565b16c2cc6c1d0ebc1,0,1,1,0,0,0,0,0,0,0,0,0,0
2-62c165eb7e0bacb47b0b465dc4066da17e2def19,0,0,1,0,0,0,0,0,0,0,0,0,0
1-7a5b15a0b1e94fd23915a3a5da0157694c09bff6,0,0,1,0,0,0,0,0,0,0,0,0,0
