Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
32,0,0,0,0,0,0,0,0,0,0,0,1,0
35,0,0,0,0,0,1,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,1,0,1,0,0,1,0
20,0,0,0,0,0,0,0,0,0,0,0,1,0
18,0,0,0,0,0,0,0,0,0,0,0,1,0
27,1,1,0,0,0,0,0,0,1,0,0,1,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,1,0,0,0,0,0,0,0
42,1,1,1,0,0,0,0,0,0,0,0,1,0
6,0,0,1,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,1,1,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,1,0
26,1,0,1,0,0,0,0,0,1,0,0,0,1
8,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0,0,0,0
44,1,0,1,1,0,1,0,0,0,0,0,0,0
43,0,0,0,0,1,1,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,0,1,0,0,0,0,0,1,0,0,0,1
30,0,0,0,0,1,1,0,0,0,0,0,0,0
37,1,1,1,1,0,1,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,1,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,1,0,0,0,0,0,0,0
23,0,0,0,1,0,1,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,0,1,0,0,0,0,0,0,0,0,1,0
3,1,0,1,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,1,0
40,1,1,1,0,0,0,0,0,1,0,0,0,1
2,0,0,0,0,0,0,0,0,1,0,0,0,0
13,1,0,1,0,0,0,0,0,1,0,0,1,0
5,0,0,0,0,1,1,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0
22,0,0,0,1,1,0,0,1,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0
