Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-02b3c5e03c44a9373c3a9d323c3425bdffade688,1,1,1,1,0,1,1,0,1,0,0,1,0
1-621f1f76216a62bf1631fb337ba6c126c326a0cc,0,0,0,0,0,0,0,0,1,0,0,1,0
1-ede6a210bcbb1844342ebcbcf6724ed9db8a2f4f,1,0,1,1,0,1,0,0,0,0,0,0,0
1-5000b8ce6d741aa391ad54b5f886a8c622dcdca8,1,0,1,0,1,1,0,0,0,0,0,0,0
1-04c097f9c44f7beb958860d65105c0e687d34f08,1,1,0,1,1,0,0,0,0,0,0,0,0
1-09ceccd596e6aeebb5eca309093ef32216291f1e,0,0,0,0,0,0,0,0,0,0,1,1,0
1-1cb9d1ccb081c17b45572f882af251bde3d58bd8,0,0,0,1,1,1,0,0,0,0,0,0,0
1-d0348de241a6cf6be9c51500870ee1fb26172101,1,1,0,1,1,0,0,0,0,0,0,0,0
1-9ae1febaec3c5e23af34be61334b3ee54d359eef,0,0,0,0,0,0,0,0,0,0,0,1,0
1-fb388c36c0045c50744cf215521e5c280036aa70,1,0,1,1,0,1,0,0,0,0,0,0,0
1-94f7ec4ddeee6b4f351420c67169e52c7abc9cc7,0,0,0,0,0,0,0,0,0,0,0,1,0
1-bb4cc477bf4db621403caa7404008de390db96c7,1,1,1,0,0,0,0,0,1,0,1,1,0
1-6d06ae94c521628da4bcd76675f3660fee8ebf76,1,1,1,1,1,1,0,0,0,0,0,0,0
1-e405ceecdc4c3fe0c8b80688f4df4513df3ca50b,0,1,1,0,0,0,0,0,0,0,0,1,0
1-b78d16501ca2398cf5352705db7d2371b39537d5,1,0,1,1,0,1,0,0,0,0,0,0,0
1-0f8bbe61c2d7132846b8ad13804ae70d62c5c8bc,1,1,1,1,1,1,0,0,0,0,0,0,0
1-6b50c90daa764492e074198460c807d83d52325e,0,0,0,0,0,1,0,0,0,0,0,0,0
1-61fe50886acfa37d9063ff3fcb34432c82dede8a,0,0,0,0,0,0,0,0,0,0,0,1,0
1-10196f5dc50efa360bb988db3d16b3520d0587ca,0,0,0,0,1,1,0,0,0,0,0,0,0
1-d5b5d4e1d0e12639f66285b3f9d4f35d53dd3173,1,1,1,1,1,1,0,0,0,0,0,0,0
1-eed073b87617db96a0cc68de88cbcd5823d2ed38,0,0,0,1,1,1,0,0,0,0,0,0,0
1-0dec13e714cd8f16a4533909236520b3bf71daf5,0,0,0,0,0,1,0,0,0,0,0,0,0
1-9506a1844d5076b4edcc2b9a5bc375acf7e95c35,1,0,1,1,0,1,0,0,0,0,0,0,0
1-24a58469927e0faee2d29a628467e998ed491449,0,0,0,1,0,1,0,0,0,0,0,0,0
1-8e655d386a595ea1927ebeded58939d7b8a7ce0c,1,1,1,1,1,1,0,0,0,0,0,0,0
1-960364fad3fc2ead6113d4c5d4b7d9ebf23e2f9a,1,1,1,1,1,1,0,0,0,0,0,0,0
1-2ee6af73e7e55b41e96d587d6661aa478d519dc8,0,0,0,1,0,1,0,0,0,0,0,0,0
1-1adb8b4c97103ac5b15d009f3eda791a53b83d6f,0,0,0,0,0,0,0,0,0,0,0,1,0
1-99747a041de849f7d2f6a1ead9d11d0bb8f6f704,1,0,1,1,0,1,0,0,1,0,0,0,0
1-b4c19c82e7f235b0e10fd12f2430581a10ec60eb,0,0,0,0,0,0,0,0,0,0,0,1,0
1-06d7e135494a216354ce31ec1711099c52a2c953,0,0,0,0,0,0,0,0,0,0,0,1,0
1-cf9d3fb22dc60eaebd2afe08c8d18f8a20521f85,1,1,0,0,0,0,0,0,1,0,0,0,0
1-0b43f836abee5fcdb15adbcff4619f76780b74ac,0,0,0,1,0,1,1,0,0,0,0,0,0
1-6c7162f0429bf235fc157ca081ceb992409594e0,0,1,1,0,0,1,0,0,0,0,0,0,0
1-7b6c27e95fef9e725fbf9e15afb852bb952dfa34,0,0,0,0,0,0,0,0,0,0,0,1,0
1-bc2374c7e2c5594076fd404b70686ace004a371b,0,0,0,1,1,1,0,0,0,0,0,0,0
1-9d8184e1a607dcfcd3733b8a40587459f2a583d1,0,0,1,0,0,0,0,0,0,0,0,1,0
1-68aeb576ccb2b44e436d13d0be2660f85dc9ee4b,1,1,1,1,1,1,0,0,0,0,0,0,0
1-0efa7d76b544f404f69e942ea9018fe810ac8b99,1,1,1,1,1,1,0,0,0,0,0,0,0
1-8a89fb0a5acf97e8836d0aaf1ba9bd723fd700c2,0,0,0,0,0,0,0,0,1,0,0,0,1
1-be10f7278344dacb0bcc43553579b5add828f9b7,0,1,1,0,1,1,0,0,0,0,0,0,0
1-694464c8e552a3960707dbd58965866989e02a2b,0,0,0,0,0,1,0,0,0,0,0,0,0
1-8e063e8a9501b48c03999446edbdc1e83cc28236,0,0,1,0,0,0,0,0,1,0,0,1,0
1-428f8a0c95eb4cf4e4f831dda0ffdf468c227f41,1,1,1,1,1,1,0,0,0,0,0,0,0
1-a9aae3038ba49bf1c8795ddd522baa0d6a1aace6,1,0,1,1,0,1,0,0,0,0,0,0,0
1-915bbb87897978a87e7b360be438c20cb60d7ddb,0,0,1,0,0,1,0,0,0,0,0,0,0
1-36bb9b09948f1d695791ed8e9a2bf6c67dc2c7fa,0,0,0,0,0,1,0,0,1,0,0,0,0
1-42bb6d1430e4806f03c4ca999def92dbbdf6c1cc,0,0,1,0,0,1,0,0,0,0,0,0,0
1-0bfc6fa05859e7589652ca70f12a6811e31ba8d4,0,0,0,0,0,0,0,0,1,0,0,1,0
1-bed91989f7354552d72b2b7f0c28fcbd24fee003,0,0,0,0,0,0,0,0,1,0,0,1,0
1-731c46d3bd61cc1e3e4733570dd80ab00cd63c87,0,1,1,1,1,1,0,0,1,0,0,0,0
1-0a68ecbf73bddc893d7f97db121691d7bac80624,1,1,0,1,1,0,0,0,0,0,0,0,0
1-630eb94d43670f2080c7273584d49c0b0d4162f1,1,1,1,1,1,1,0,0,0,0,0,0,0
1-3f2c603c32e17f5181fc20383539b571bcada8c0,1,1,1,1,0,1,0,0,0,0,0,0,0
1-8907128c87954825abed135e781f272f67648f95,0,0,0,1,0,1,0,0,0,0,0,0,0
1-2f49331fb22511346eea8800d27907de44409d5b,1,1,1,1,1,1,0,0,0,0,0,0,0
1-6e27cb0fbf02039407c001523f61a79c48af307d,1,0,1,1,0,1,0,0,0,0,0,0,0
1-3364e5b0dfc45a578d9008524ef22ac714cc2d57,0,0,0,0,0,0,0,0,0,0,0,1,0
1-1411f35e49208b0049c25e57986df98e0c64a907,0,0,0,0,0,0,0,0,0,0,0,1,0
1-13605283ec72f752fe950d08b10a55932430d0bc,1,1,0,1,1,0,0,0,0,0,0,0,0
1-a9080cf8b1b3d6b3bdf1f3a6e68b044ffc035153,0,0,0,0,0,1,0,0,0,0,0,0,0
1-dcf4b43e5c2f05d22bad9567dcd98d9cdf707c82,0,0,0,0,0,0,0,0,1,0,0,1,0
1-95245a501059ef998be5052adb5930d744533731,1,1,1,1,1,1,1,0,1,1,0,0,1
1-6c050d8b605714121da570382078edaa3750af4a,1,1,0,0,0,1,0,0,0,0,0,0,0
1-8718d4a587fe7951b4767c6bcc52d7979d9b8795,1,1,0,1,1,1,0,0,0,0,0,0,0
1-52ce3a035f37392b37e54c9c7d9b003356d77643,1,1,0,1,1,0,1,0,0,0,0,0,0
1-61db2ec5c6d8a2146b83bc92203c844b82d6f345,0,0,0,0,0,0,0,0,0,0,0,1,1
1-828b957be6e70db69b7bb3f8d05343301aae9e29,0,0,1,0,0,1,0,0,0,0,0,0,0
1-263cf50ac27714b8e120565f45a1fac661df18b5,1,1,1,0,0,1,0,0,0,0,0,0,0
