Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
32,0,0,0,0,0,0,0,0,0,0,0,1,0
35,1,1,1,0,0,0,0,0,1,0,0,1,1
34,1,1,0,1,1,0,1,0,1,0,0,1,0
33,1,1,1,1,1,1,0,0,0,0,0,0,0
20,1,1,1,1,1,1,1,0,0,0,0,0,0
18,0,0,0,0,0,1,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,0,1,0,0,0,0,0,1,0,0,0,1
11,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0,0,0,0
29,0,0,0,0,0,1,0,0,0,0,0,0,0
16,1,1,0,1,1,0,0,0,0,0,0,1,0
42,1,1,1,1,1,1,0,0,0,0,0,0,0
6,0,0,0,0,1,1,0,0,0,0,0,0,0
28,1,1,1,1,1,1,1,0,1,1,0,0,0
17,1,1,1,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0,0,0,0
10,1,1,0,0,0,1,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,1,0,0,0,0
8,0,1,1,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,1,1,0,0,0,0,0,0,0
38,1,1,1,0,0,0,0,0,0,0,0,1,0
36,1,1,1,0,0,0,0,0,1,1,0,1,0
31,0,0,0,0,0,1,0,0,0,0,0,0,0
30,0,0,0,0,0,1,0,0,0,0,0,0,0
37,0,1,1,0,0,0,0,0,0,0,0,1,0
39,0,0,0,0,0,0,0,0,0,0,0,0,1
41,1,0,1,1,0,1,0,0,1,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,0
23,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,1,1,1,1,0,1,1,0,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,0,0,0,1,0
40,1,1,1,1,1,1,1,0,0,0,0,0,0
2,0,0,1,1,1,0,0,0,0,0,0,0,0
13,1,0,1,0,0,0,0,0,1,0,0,1,0
5,0,0,0,1,1,1,0,0,0,0,0,0,0
14,0,0,1,0,0,1,0,0,0,0,0,0,0
22,1,1,1,0,0,0,0,0,1,0,0,0,1
25,0,0,0,0,0,1,0,0,0,0,0,0,0
