Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
2-ee1c2aeeab31beacb4b3e76703c9a492238b74fa,0,0,1,1,0,1,0,0,0,0,1,0,0
1-f2c2a1a7c9c6dae98d27f29db2196aa3f908d7a0,0,0,0,0,0,1,0,0,0,0,0,0,0
1-c6d6673aa1546b42dcec850a60a75258094fa07e,0,0,0,1,1,1,0,0,1,0,0,0,0
1-57bd9423610d55df4404c039614de9820c40a2cd,1,1,0,1,1,0,0,0,0,0,0,0,0
1-ee1c2aeeab31beacb4b3e76703c9a492238b74fa,0,0,0,1,0,1,0,0,1,0,0,0,0
2-42018d4e4c9b89145c765b99439ceabcfcbf721c,0,1,1,0,1,1,0,0,0,0,0,0,0
1-50a15b7c09228bdc460e9ae0119654b97576980d,0,1,1,0,0,0,0,0,1,0,0,0,0
1-ba23405733e09698d87ca4b52c6ae684476e87cc,0,0,1,0,0,1,0,0,0,0,0,0,0
1-ec1cb94254275e10e1a97196c8697f5825a1d261,0,0,1,0,0,1,0,0,0,0,0,0,0
1-42018d4e4c9b89145c765b99439ceabcfcbf721c,0,1,1,0,1,1,0,0,0,0,0,0,0
1-661a3a8d084e62fce3562efc6543afc2c3e13307,0,0,1,0,0,1,0,0,0,0,0,0,0
1-b957c637c8cb5b7319a63ed2976629bbf1d3085a,1,0,1,1,0,1,0,0,0,0,0,0,0
1-91f198e8e6bc93a85202ef7c03e9275983b5764c,0,0,0,0,0,1,0,0,0,0,0,0,0
1-59185ec081fc1d592fbfdbcf3ae516ac726ab6a4,0,0,1,0,0,1,0,0,0,0,0,0,0
1-6a121da108a97a7306acb9d1b19564762f9afbb0,0,0,1,0,0,1,0,0,0,0,0,0,0
1-cddf400c69d5bfb08b01fdaf672175a8c5dbc193,1,1,0,0,0,0,0,0,1,0,0,0,0
1-8d8a85e000a486c9d71bb88ab8514e569f0131cb,0,0,0,0,0,1,0,0,0,0,0,0,0
1-894a2e7979bd2f12d974ed48adb8651405643c2b,0,0,0,0,0,1,0,0,0,0,0,0,0
1-ee1c2aeeab31beacb4b3e76703c9a492238b74fa,0,0,0,1,0,1,0,0,1,0,0,0,0
1-5a523b3742c43bd315ecee1b55e46523cfd14207,0,1,1,0,0,0,0,0,1,0,0,1,0
1-09b49f6498c1482bd674856c78e7881254605ff9,0,0,0,0,0,1,0,0,0,0,0,0,0
1-2a377949a103aab758dc88c109a1887deabc25c1,0,0,1,0,0,1,0,0,0,0,0,0,0
1-0e2635af429d89387bbb4219283900c87b8d8ead,0,0,0,0,0,0,0,0,0,0,0,1,0
1-bc86c70171344bb4c188e4dd916417f0e3ae2816,0,0,0,1,1,0,1,0,0,0,0,0,0
1-4ebdea6c8246fe8043df17fde88f6bd2171d387a,0,0,0,0,0,0,0,0,1,0,0,0,0
1-f6d5e9c1f049105a3aa3528cab9aeb93af28b2b3,1,1,1,1,0,1,0,0,0,0,0,0,0
1-39919e3fdb5bea8fc2c17520e7a77053bdd732dd,0,0,0,0,0,0,0,0,0,0,0,0,1
1-64e6f20eea605e6187da1ba64467be18d953b38b,0,0,0,0,0,0,0,0,0,0,0,0,1
1-d935bfff7e52ab35f5f0fa69ebddeaa09c86e321,0,0,0,0,0,1,0,0,0,0,0,0,0
1-fa462e2702e9b3a11ee3fd6b46c179e5ba698ea3,0,0,1,0,0,1,0,0,0,0,0,0,0
1-3b88ba83072a6bfb373551ac09a9a714683d3bc1,0,1,1,0,1,1,0,0,0,0,0,0,0
1-e731919f87e189b5c09a7dad06a815b227047b56,1,0,1,0,0,0,0,0,0,0,0,1,0
1-f77922d280cee5008247ac2500c8b4c11acf06a0,1,0,1,1,0,1,0,0,0,0,0,0,0
