Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-4b2e6d8c8b4f53d8144fdb188e72f67181d6d780,1,1,1,1,1,1,0,0,0,0,0,0,0
1-b74033d37ea6f1cb297922540131eb4a483dc24e,0,0,0,0,0,1,0,0,0,0,0,0,0
2-98fb86162cf82afd25370e315bbd61ad6c978cb9,1,1,0,0,0,0,1,0,1,0,0,0,0
1-6d68e91dacb8e8550c0c33206c3e0bc9822fe946,0,0,1,0,0,1,0,0,0,0,0,0,0
1-98fb86162cf82afd25370e315bbd61ad6c978cb9,1,1,1,0,1,1,1,0,1,0,1,1,0
2-6d68e91dacb8e8550c0c33206c3e0bc9822fe946,0,0,1,0,0,1,0,0,0,0,0,0,0
1-1f680fa4bac28f3f9ec78215c74b40a643c81fca,1,1,1,1,1,1,0,0,0,0,0,0,0
2-4b2e6d8c8b4f53d8144fdb188e72f67181d6d780,1,1,1,1,1,1,0,0,0,0,0,0,0
2-b74033d37ea6f1cb297922540131eb4a483dc24e,0,0,0,0,0,1,0,0,0,0,0,0,0
1-415fd53a6b25fd71b0994a744e59bce1fcad17f9,0,0,0,0,0,0,1,0,1,0,0,0,1
3-98fb86162cf82afd25370e315bbd61ad6c978cb9,1,1,0,0,0,0,1,0,1,0,0,1,0
1-417e63049083d703c0695aea5b3bbd663cefa27c,1,1,1,1,1,1,0,0,1,0,0,0,0
1-a57e1e48205a143911b38ba46cb46a07c22688f0,1,1,1,1,1,1,1,0,1,0,1,0,0
1-50f95cbe8d102b9a2cdfd2da846c9d149f4c7535,0,1,1,0,0,1,0,0,0,0,0,0,0
3-b74033d37ea6f1cb297922540131eb4a483dc24e,1,1,1,1,1,1,1,0,1,0,0,0,0
1-68b1fb9f11ea6a2fc8007cad523268b9e769cad2,0,0,0,0,0,0,0,0,1,0,0,0,0
1-cbad0bdae2ab4950fdcd5b847aa096ed5c1ac6ca,0,0,0,0,0,1,0,0,0,0,0,0,0
1-36764bbbb3f2fda9a6f6a28f85b64124179acaa7,0,0,0,0,0,0,0,0,0,0,0,1,0
1-ed450fcef5fcf472f00b2758ce4073d1cc7ff3af,1,1,1,1,1,1,0,0,0,0,0,0,0
