ShapeBefore,ShapeAfterAggregate,Location
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/32
STAR,OTHER,zookeeper/scc-sdsm/aggregate/35
STAR,STAR,zookeeper/scc-sdsm/aggregate/34
OTHER,OTHER,zookeeper/scc-sdsm/aggregate/33
TINY,STAR,zookeeper/scc-sdsm/aggregate/20
STAR,OTHER,zookeeper/scc-sdsm/aggregate/18
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/27
OTHER,OTHER,zookeeper/scc-sdsm/aggregate/9
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/11
NoSCCBefore,CIRCLE,zookeeper/scc-sdsm/aggregate/7
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/29
TINY,CLIQUE,zookeeper/scc-sdsm/aggregate/16
TINY,STAR,zookeeper/scc-sdsm/aggregate/42
OTHER,OTHER,zookeeper/scc-sdsm/aggregate/45
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/6
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/28
NoSCCBefore,CIRCLE,zookeeper/scc-sdsm/aggregate/17
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/1
OTHER,OTHER,zookeeper/scc-sdsm/aggregate/10
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/19
CIRCLE,OTHER,zookeeper/scc-sdsm/aggregate/26
TINY,STAR,zookeeper/scc-sdsm/aggregate/8
OTHER,OTHER,zookeeper/scc-sdsm/aggregate/21
NoSCCBefore,STAR,zookeeper/scc-sdsm/aggregate/44
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/43
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/38
NoSCCBefore,TINY,zookeeper/scc-sdsm/aggregate/36
TINY,STAR,zookeeper/scc-sdsm/aggregate/31
TINY,STAR,zookeeper/scc-sdsm/aggregate/30
OTHER,OTHER,zookeeper/scc-sdsm/aggregate/37
STAR,STAR,zookeeper/scc-sdsm/aggregate/39
CIRCLE,OTHER,zookeeper/scc-sdsm/aggregate/46
