ShapeBeforeBreaking,ShapeAfter,Location
TINY,NoSCCAfter,zookeeper/scc-sdsm/break/9
TINY,NoSCCAfter,zookeeper/scc-sdsm/break/7
STAR,TINY,zookeeper/scc-sdsm/break/6
STAR,STAR,zookeeper/scc-sdsm/break/1
OTHER,OTHER,zookeeper/scc-sdsm/break/8
STAR,TINY,zookeeper/scc-sdsm/break/4
OTHER,OTHER,zookeeper/scc-sdsm/break/3
STAR,TINY,zookeeper/scc-sdsm/break/2
OTHER,OTHER,zookeeper/scc-sdsm/break/5
TINY,NoSCCAfter,wicket/scc-sdsm/break/135
TINY,TINY,wicket/scc-sdsm/break/61
TINY,NoSCCAfter,wicket/scc-sdsm/break/95
OTHER,OTHER,wicket/scc-sdsm/break/132
TINY,NoSCCAfter,wicket/scc-sdsm/break/59
OTHER,OTHER,wicket/scc-sdsm/break/92
TINY,NoSCCAfter,wicket/scc-sdsm/break/66
TINY,CIRCLE,wicket/scc-sdsm/break/104
TINY,NoSCCAfter,wicket/scc-sdsm/break/50
OTHER,STAR,wicket/scc-sdsm/break/68
STAR,NoSCCAfter,wicket/scc-sdsm/break/103
OTHER,CIRCLE,wicket/scc-sdsm/break/57
TINY,TINY,wicket/scc-sdsm/break/157
TINY,NoSCCAfter,wicket/scc-sdsm/break/150
TINY,NoSCCAfter,wicket/scc-sdsm/break/159
TINY,NoSCCAfter,wicket/scc-sdsm/break/32
OTHER,OTHER,wicket/scc-sdsm/break/166
TINY,NoSCCAfter,wicket/scc-sdsm/break/35
CIRCLE,TINY,wicket/scc-sdsm/break/161
OTHER,STAR,wicket/scc-sdsm/break/102
OTHER,CIRCLE,wicket/scc-sdsm/break/69
STAR,STAR,wicket/scc-sdsm/break/56
TINY,TINY,wicket/scc-sdsm/break/105
TINY,STAR,wicket/scc-sdsm/break/51
STAR,NoSCCAfter,wicket/scc-sdsm/break/58
TINY,NoSCCAfter,wicket/scc-sdsm/break/133
OTHER,OTHER,wicket/scc-sdsm/break/67
CHAIN,CIRCLE,wicket/scc-sdsm/break/93
TINY,NoSCCAfter,wicket/scc-sdsm/break/134
STAR,TINY,wicket/scc-sdsm/break/94
TINY,TINY,wicket/scc-sdsm/break/60
OTHER,OTHER,wicket/scc-sdsm/break/34
CIRCLE,CIRCLE,wicket/scc-sdsm/break/160
TINY,NoSCCAfter,wicket/scc-sdsm/break/33
STAR,TINY,wicket/scc-sdsm/break/158
TINY,NoSCCAfter,wicket/scc-sdsm/break/167
TINY,NoSCCAfter,wicket/scc-sdsm/break/151
STAR,NoSCCAfter,wicket/scc-sdsm/break/156
TINY,NoSCCAfter,wicket/scc-sdsm/break/20
TINY,NoSCCAfter,wicket/scc-sdsm/break/18
STAR,TINY,wicket/scc-sdsm/break/27
STAR,NoSCCAfter,wicket/scc-sdsm/break/9
TINY,NoSCCAfter,wicket/scc-sdsm/break/145
OTHER,CIRCLE,wicket/scc-sdsm/break/11
TINY,TINY,wicket/scc-sdsm/break/142
CIRCLE,STAR,wicket/scc-sdsm/break/7
TINY,TINY,wicket/scc-sdsm/break/29
OTHER,CIRCLE,wicket/scc-sdsm/break/16
CIRCLE,NoSCCAfter,wicket/scc-sdsm/break/129
CIRCLE,NoSCCAfter,wicket/scc-sdsm/break/42
OTHER,OTHER,wicket/scc-sdsm/break/89
TINY,STAR,wicket/scc-sdsm/break/116
OTHER,TINY,wicket/scc-sdsm/break/45
STAR,NoSCCAfter,wicket/scc-sdsm/break/111
TINY,NoSCCAfter,wicket/scc-sdsm/break/73
TINY,NoSCCAfter,wicket/scc-sdsm/break/118
CIRCLE,NoSCCAfter,wicket/scc-sdsm/break/87
OTHER,OTHER,wicket/scc-sdsm/break/127
TINY,NoSCCAfter,wicket/scc-sdsm/break/80
TINY,NoSCCAfter,wicket/scc-sdsm/break/74
CHAIN,TINY,wicket/scc-sdsm/break/120
TINY,NoSCCAfter,wicket/scc-sdsm/break/6
OTHER,OTHER,wicket/scc-sdsm/break/28
OTHER,OTHER,wicket/scc-sdsm/break/143
TINY,CIRCLE,wicket/scc-sdsm/break/17
CIRCLE,NoSCCAfter,wicket/scc-sdsm/break/144
TINY,NoSCCAfter,wicket/scc-sdsm/break/1
TINY,NoSCCAfter,wicket/scc-sdsm/break/10
STAR,NoSCCAfter,wicket/scc-sdsm/break/19
TINY,NoSCCAfter,wicket/scc-sdsm/break/26
OTHER,TINY,wicket/scc-sdsm/break/8
TINY,NoSCCAfter,wicket/scc-sdsm/break/21
OTHER,CIRCLE,wicket/scc-sdsm/break/75
OTHER,OTHER,wicket/scc-sdsm/break/81
STAR,NoSCCAfter,wicket/scc-sdsm/break/121
